,count,mean,std,min,25%,50%,75%,max
student_id,20.0,9263.0,0.0,9263.0,9263.0,9263.0,9263.0,9263.0
draft_no,20.0,1.5,0.512989176042577,1.0,1.0,1.5,2.0,2.0
duration_minutes,20.0,7.3,3.8675437601715776,1.0,5.0,6.0,10.25,15.0
cohesion,20.0,0.275,0.8503095411610255,0.0,0.0,0.0,0.0,3.0
argumentation,20.0,0.24500000000000002,0.7584436973864725,0.0,0.0,0.0,0.0,2.7
grammar_accuracy,20.0,0.225,0.6972691091152079,0.0,0.0,0.0,0.0,2.5
lexical_resource,20.0,0.255,0.7890533968990278,0.0,0.0,0.0,0.0,2.8
total_score,20.0,1.0,3.094987458524033,0.0,0.0,0.0,0.0,11.0
word_count,2.0,112.0,0.0,112.0,112.0,112.0,112.0,112.0
assignment_views,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rubric_views,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resource_access_count,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_access_delay_minutes,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_on_task,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revision_frequency,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feedback_views,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
help_seeking_messages,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
task_achievement,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
organization,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
academic_style,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mechanics,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_access_delay_hours,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
performance_total,20.0,1.0,3.094987458524033,0.0,0.0,0.0,0.0,11.0
grammar_accuracy_score,20.0,0.225,0.6972691091152079,0.0,0.0,0.0,0.0,2.5
organization_score,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
argumentation_score,20.0,0.24500000000000002,0.7584436973864725,0.0,0.0,0.0,0.0,2.7
lexical_resource_score,20.0,0.255,0.7890533968990278,0.0,0.0,0.0,0.0,2.8
type_token_ratio,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score_gain,20.0,0.1,3.258995647677202,-9.0,0.0,0.0,0.0,11.0
cohesion_gain,20.0,0.025,0.8955298343497698,-2.5,0.0,0.0,0.0,3.0
lexical_gain,20.0,0.025,0.830899955976714,-2.3,0.0,0.0,0.0,2.8
error_reduction,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
