process_variable,product_variable,spearman_rho,p_value
assignment_views,total_score,,
assignment_views,argumentation,,
assignment_views,cohesion,,
assignment_views,lexical_resource,,
assignment_views,grammar_accuracy,,
assignment_views,score_gain,,
assignment_views,cohesion_index,,
assignment_views,error_density,,
assignment_views,word_count,,
assignment_views,ttr,,
rubric_views,total_score,,
rubric_views,argumentation,,
rubric_views,cohesion,,
rubric_views,lexical_resource,,
rubric_views,grammar_accuracy,,
rubric_views,score_gain,,
rubric_views,cohesion_index,,
rubric_views,error_density,,
rubric_views,word_count,,
rubric_views,ttr,,
resource_access_count,total_score,,
resource_access_count,argumentation,,
resource_access_count,cohesion,,
resource_access_count,lexical_resource,,
resource_access_count,grammar_accuracy,,
resource_access_count,score_gain,,
resource_access_count,cohesion_index,,
resource_access_count,error_density,,
resource_access_count,word_count,,
resource_access_count,ttr,,
time_on_task,total_score,,
time_on_task,argumentation,,
time_on_task,cohesion,,
time_on_task,lexical_resource,,
time_on_task,grammar_accuracy,,
time_on_task,score_gain,,
time_on_task,cohesion_index,,
time_on_task,error_density,,
time_on_task,word_count,,
time_on_task,ttr,,
revision_frequency,total_score,,
revision_frequency,argumentation,,
revision_frequency,cohesion,,
revision_frequency,lexical_resource,,
revision_frequency,grammar_accuracy,,
revision_frequency,score_gain,,
revision_frequency,cohesion_index,,
revision_frequency,error_density,,
revision_frequency,word_count,,
revision_frequency,ttr,,
feedback_views,total_score,,
feedback_views,argumentation,,
feedback_views,cohesion,,
feedback_views,lexical_resource,,
feedback_views,grammar_accuracy,,
feedback_views,score_gain,,
feedback_views,cohesion_index,,
feedback_views,error_density,,
feedback_views,word_count,,
feedback_views,ttr,,
help_seeking_messages,total_score,,
help_seeking_messages,argumentation,,
help_seeking_messages,cohesion,,
help_seeking_messages,lexical_resource,,
help_seeking_messages,grammar_accuracy,,
help_seeking_messages,score_gain,,
help_seeking_messages,cohesion_index,,
help_seeking_messages,error_density,,
help_seeking_messages,word_count,,
help_seeking_messages,ttr,,
